,time,avg
0,17.0,11.224358974358974
1,17.0,10.635220125786164
2,17.0,11.133333333333333
3,21.0,11.626865671641792
4,21.0,10.037037037037036
5,21.0,8.441558441558442
6,21.0,8.785276073619633
7,21.0,8.54109589041096
8,21.0,10.342857142857143
9,25.0,9.791666666666666
10,25.0,11.987878787878788
11,25.0,12.725146198830409
12,25.0,16.80536912751678
13,25.0,14.69767441860465
14,25.0,13.433823529411764
15,29.0,12.87218045112782
16,29.0,13.53020134228188
17,29.0,12.980519480519481
18,29.0,13.329032258064515
19,29.0,14.607142857142858
20,29.0,13.81858407079646
21,33.0,9.767857142857142
22,33.0,11.573529411764707
23,33.0,12.270440251572326
24,33.0,12.734848484848484
25,33.0,12.740181268882175
26,37.0,9.915254237288135
27,37.0,9.87431693989071
28,37.0,9.046666666666667
29,37.0,12.063291139240507
30,37.0,10.329192546583851
31,37.0,10.503105590062113
32,41.0,7.538961038961039
33,41.0,8.297450424929178
34,41.0,8.300613496932515
