,time,avg
0,17.0,40.3312101910828
1,17.0,34.97385620915033
2,17.0,38.16129032258065
3,21.0,36.99386503067485
4,21.0,40.726027397260275
5,21.0,31.607734806629836
6,25.0,21.845637583892618
7,25.0,25.565891472868216
8,25.0,23.601769911504423
9,29.0,24.419354838709676
10,29.0,24.62857142857143
11,29.0,26.382978723404257
12,33.0,21.643939393939394
13,33.0,27.458181818181817
14,37.0,30.6
15,37.0,29.62111801242236
16,37.0,31.855072463768117
17,41.0,31.34
18,41.0,24.931372549019606
