,Nr1d1_pred_lower,Nr1d1_pred_median,Nr1d1_pred_upper,Cry1_pred_lower,Cry1_pred_median,Cry1_pred_upper,Bmal1_pred_lower,Bmal1_pred_median,Bmal1_pred_upper
17.0,1.71100656904316,1.7900805278922918,1.8729751417338953,2.7422335345599445,2.854343057485077,2.9715053498158484,4.746345621999775,4.980522394168538,5.226117087445878
17.252525252525253,1.7161717014003153,1.795484366208179,1.8786292196806138,2.7239400243533156,2.8353016617770703,2.9516823614522294,4.793544336832729,5.030049814824949,5.278086756268701
17.505050505050505,1.7223341708137094,1.801931633390103,1.885375045343596,2.7078623198081706,2.818566659535149,2.934260437146164,4.8363693483172305,5.074987740908643,5.325240617810483
17.757575757575758,1.7297857180380205,1.8097275529559578,1.8935319764571896,2.6943944209367245,2.8045481585000824,2.9196665183413226,4.874142857055534,5.114624931530714,5.366832359160928
18.01010101010101,1.738787320799722,1.8191451636858536,1.9033856956149473,2.6839206160838454,2.7936461577074816,2.908317022843941,4.906229952657194,5.1482951508816095,5.402162891735943
18.262626262626263,1.7495629292917652,1.830418765603457,1.9151813527490635,2.676808121573128,2.7862428862237762,2.9006098690866935,4.932049590404027,5.1753886864664125,5.4305924374889845
18.515151515151516,1.762293891615122,1.8437380877899967,1.9291174628689287,2.673399865606817,2.7826952920335057,2.8969166567071505,4.951084825941403,5.1953630887587225,5.451551798148338
18.767676767676768,1.7771141737578406,1.8592432874552363,1.9453406735502985,2.6740075459117816,2.783327815864093,2.897575143759556,4.962892128928161,5.207752944370523,5.464552610312064
19.02020202020202,1.7941064646098073,1.8770208749459716,1.963941501240074,2.678905086501376,2.7884255804433975,2.902882156411655,4.967109611791336,5.212178510799927,5.4691964059840625
19.272727272727273,1.8132992408083313,1.8971006429438149,1.9849511182521233,2.6883226125938497,2.798228119097368,2.913087060119941,4.963464027811598,5.20835305979047,5.465182318041979
19.525252525252526,1.8346648491711404,1.9194536602780647,2.0083392536781273,2.7024410542995887,2.8129237588222136,2.9283859121436433,4.951776413399222,5.1960887979875725,5.452313292847338
19.77777777777778,1.8581186463981152,1.9439913718688626,2.03401325165112,2.7213874793064257,2.8326447621579507,2.9489164040066327,4.93196627225186,5.1753012575356605,5.430500697347535
