,Nr1d1,Cry1,Bmal1
17.0,24.748758930724545,9.338012579885987,34.94182792971426
17.252525252525253,24.823469694458673,9.275718448143323,35.28929720443999
17.505050505050505,24.912606385193506,9.220969705583222,35.60456798189235
17.757575757575758,25.02038887085038,9.17510802406917,35.88265041311554
18.01010101010101,25.150592049230593,9.139442004740083,36.11887039109942
18.262626262626263,25.306455235427222,9.115222114103211,36.30895035920093
18.515151515151516,25.490601528935084,9.103616111348494,36.44908465727534
18.767676767676768,25.704968673304386,9.105685407838791,36.53600808725008
19.02020202020202,25.950752717344383,9.122362785692772,36.56705649187582
19.272727272727273,26.228365559746628,9.154431880824548,36.54021827348995
19.525252525252526,26.53740721254481,9.202508807103579,36.45417593153069
19.77777777777778,26.876653357379503,9.267026262941249,36.30833686562166
20.03030303030303,27.244058496675667,9.348220420205696,36.10285287239896
20.282828282828284,27.63677472433512,9.446120848628096,35.838627955736904
20.535353535353536,28.05118586226361,9.560543677599535,35.51731426832657
20.78787878787879,28.482956434874595,9.691088142355504,35.1412962042377
21.04040404040404,28.92709468845175,9.83713660395587,34.71366286365107
21.292929292929294,29.378028610567714,9.99785807319128,34.23816930889149
21.545454545454547,29.829693671069485,10.172215208610575,33.71918722178613
21.7979797979798,30.27563079456042,10.358974699309472,33.161645752908306
22.050505050505052,30.70909288855859,10.556720884982843,32.570963520310634
22.303030303030305,31.12315809486567,10.76387241003258,31.952972866005616
22.555555555555557,31.51084780690559,10.978701656209054,31.313837610103963
22.80808080808081,31.865247405098522,11.199356650257023,30.65996565288699
23.060606060606062,32.17962760733969,11.423885100172532,29.99791786225742
23.313131313131315,32.4475643133465,11.65026017670246,29.334314746472835
23.565656565656568,32.66305484037494,11.876407626277805,28.675742448737815
23.81818181818182,32.82062850329215,12.100233778196579,28.0286596104833
24.070707070707073,32.915449583291355,12.319653992971311,27.399306633822537
24.323232323232325,32.94341085508666,12.532621090608089,26.793618831032788
24.575757575757578,32.90121600006795,12.737153297333267,26.217144880718156
24.82828282828283,32.78644941991077,12.931361256937418,25.67497191775378
25.080808080808083,32.59763217828753,13.11347366833325,25.171658468810122
25.333333333333336,32.33426303392412,13.281861133860124,24.711176309219272
25.58585858585859,31.99684378220502,13.435057832916073,24.2968621625436
25.83838383838384,31.586888390445438,13.571780672140068,23.931379994130175
26.090909090909093,31.10691568916888,13.690945605968436,23.616694467143983
